alias,alias_norm,organismo_unam,organismo_norm,organismo_base,sede_unidad,fuente_alias,requiere_senal_unam,es_alias_sede
Instituto de Ciencias de la Atmósfera y Cambio Climático,instituto de ciencias de la atmosfera y cambio climatico,Instituto de Ciencias de la Atmósfera y Cambio Climático,instituto de ciencias de la atmosfera y cambio climatico,Instituto de Ciencias de la Atmósfera y Cambio Climático,,catalogo_canonico,False,False
Instituto de Ciencias del Mar y Limnología,instituto de ciencias del mar y limnologia,Instituto de Ciencias del Mar y Limnología,instituto de ciencias del mar y limnologia,Instituto de Ciencias del Mar y Limnología,,catalogo_canonico,False,False
Instituto de Ecología,instituto de ecologia,Instituto de Ecología,instituto de ecologia,Instituto de Ecología,,catalogo_canonico,False,False
Instituto de Energías Renovables,instituto de energias renovables,Instituto de Energías Renovables,instituto de energias renovables,Instituto de Energías Renovables,,catalogo_canonico,False,False
Instituto de Fisiología Celular,instituto de fisiologia celular,Instituto de Fisiología Celular,instituto de fisiologia celular,Instituto de Fisiología Celular,,catalogo_canonico,False,False
Instituto de Física,instituto de fisica,Instituto de Física,instituto de fisica,Instituto de Física,,catalogo_canonico,False,False
Instituto de Geofísica,instituto de geofisica,Instituto de Geofísica,instituto de geofisica,Instituto de Geofísica,,catalogo_canonico,False,False
Instituto de Geografía,instituto de geografia,Instituto de Geografía,instituto de geografia,Instituto de Geografía,,catalogo_canonico,False,False
Instituto de Geología,instituto de geologia,Instituto de Geología,instituto de geologia,Instituto de Geología,,catalogo_canonico,False,False
II UNAM,ii unam,Instituto de Ingeniería,instituto de ingenieria,Instituto de Ingeniería,,acronimo,False,False
Institute of Engineering,institute of engineering,Instituto de Ingeniería,instituto de ingenieria,Instituto de Ingeniería,,ingles,True,False
Instituto de Ingeniería,instituto de ingenieria,Instituto de Ingeniería,instituto de ingenieria,Instituto de Ingeniería,,catalogo_canonico,False,False
Instituto de Investigaciones Antropológicas,instituto de investigaciones antropologicas,Instituto de Investigaciones Antropológicas,instituto de investigaciones antropologicas,Instituto de Investigaciones Antropológicas,,catalogo_canonico,False,False
Instituto de Investigaciones Bibliotecológicas y de la Información,instituto de investigaciones bibliotecologicas y de la informacion,Instituto de Investigaciones Bibliotecológicas y de la Información,instituto de investigaciones bibliotecologicas y de la informacion,Instituto de Investigaciones Bibliotecológicas y de la Información,,catalogo_canonico,False,False
Instituto de Investigaciones Biomédicas,instituto de investigaciones biomedicas,Instituto de Investigaciones Biomédicas,instituto de investigaciones biomedicas,Instituto de Investigaciones Biomédicas,,catalogo_canonico,False,False
Instituto de Investigaciones Económicas,instituto de investigaciones economicas,Instituto de Investigaciones Económicas,instituto de investigaciones economicas,Instituto de Investigaciones Económicas,,catalogo_canonico,False,False
Instituto de Investigaciones Filosóficas,instituto de investigaciones filosoficas,Instituto de Investigaciones Filosóficas,instituto de investigaciones filosoficas,Instituto de Investigaciones Filosóficas,,catalogo_canonico,False,False
Instituto de Investigaciones Históricas,instituto de investigaciones historicas,Instituto de Investigaciones Históricas,instituto de investigaciones historicas,Instituto de Investigaciones Históricas,,catalogo_canonico,False,False
Instituto de Investigaciones Jurídicas,instituto de investigaciones juridicas,Instituto de Investigaciones Jurídicas,instituto de investigaciones juridicas,Instituto de Investigaciones Jurídicas,,catalogo_canonico,False,False
Instituto de Investigaciones Sociales,instituto de investigaciones sociales,Instituto de Investigaciones Sociales,instituto de investigaciones sociales,Instituto de Investigaciones Sociales,,catalogo_canonico,False,False
Instituto de Investigaciones en Ecosistemas y Sustentabilidad,instituto de investigaciones en ecosistemas y sustentabilidad,Instituto de Investigaciones en Ecosistemas y Sustentabilidad,instituto de investigaciones en ecosistemas y sustentabilidad,Instituto de Investigaciones en Ecosistemas y Sustentabilidad,,catalogo_canonico,False,False
IIMAS,iimas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,instituto de investigaciones en matematicas aplicadas y en sistemas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,acronimo,False,False
Institute for Applied Mathematics and Systems Research,institute for applied mathematics and systems research,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,instituto de investigaciones en matematicas aplicadas y en sistemas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,ingles,False,False
Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,instituto de investigaciones en matematicas aplicadas y en sistemas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,instituto de investigaciones en matematicas aplicadas y en sistemas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,catalogo_canonico,False,False
Unidad Académica del IIMAS,unidad academica del iimas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,instituto de investigaciones en matematicas aplicadas y en sistemas,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,,variante,False,False
Instituto de Investigaciones en Materiales,instituto de investigaciones en materiales,Instituto de Investigaciones en Materiales,instituto de investigaciones en materiales,Instituto de Investigaciones en Materiales,,catalogo_canonico,False,False
Instituto de Investigaciones sobre la Universidad y la Educación,instituto de investigaciones sobre la universidad y la educacion,Instituto de Investigaciones sobre la Universidad y la Educación,instituto de investigaciones sobre la universidad y la educacion,Instituto de Investigaciones sobre la Universidad y la Educación,,catalogo_canonico,False,False
IM UNAM,im unam,Instituto de Matemáticas,instituto de matematicas,Instituto de Matemáticas,,acronimo,False,False
Institute of Mathematics,institute of mathematics,Instituto de Matemáticas,instituto de matematicas,Instituto de Matemáticas,,ingles,True,False
Instituto de Matemáticas,instituto de matematicas,Instituto de Matemáticas,instituto de matematicas,Instituto de Matemáticas,,catalogo_canonico,False,False
Instituto de Neurobiología,instituto de neurobiologia,Instituto de Neurobiología,instituto de neurobiologia,Instituto de Neurobiología,,catalogo_canonico,False,False
Instituto de Química,instituto de quimica,Instituto de Química,instituto de quimica,Instituto de Química,,catalogo_canonico,False,False
Instituto de Radioastronomía y Astrofísica,instituto de radioastronomia y astrofisica,Instituto de Radioastronomía y Astrofísica,instituto de radioastronomia y astrofisica,Instituto de Radioastronomía y Astrofísica,,catalogo_canonico,False,False
Unidad de Alta Tecnología,unidad de alta tecnologia,Unidad de Alta Tecnología,unidad de alta tecnologia,Unidad de Alta Tecnología,,catalogo_canonico,False,False
