alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
Eduardo Fragoso Navarro,Eduardo Fragoso Navarro,alta,tutora_exacta_display,1.0,6,6
"Fragoso-Navarro, Eduardo",Eduardo Fragoso Navarro,alta,tutora_exacta,1.0,6,6
Elsa Leticia Flores Márquez,Elsa Leticia Flores Marquez,alta,tutora_exacta_display,1.0,3,3
"Flores-Márquez, Elsa Leticia",Elsa Leticia Flores Marquez,alta,tutora_exacta,1.0,3,3
Eric Valdez Valenzuela,Eric Valdez Valenzuela,alta,tutora_exacta_display,1.0,3,3
"Valdez-Valenzuela, Eric",Eric Valdez Valenzuela,alta,tutora_exacta,1.0,3,3
"Carbajal-Degante, Erik",Erik Carbajal Degante,alta,tutora_exacta,1.0,6,6
Erik Carbajal Degante,Erik Carbajal Degante,alta,tutora_exacta_display,1.0,6,6
Ernesto Perez Rueda,Ernesto Pérez Rueda,alta,tutora_exacta_display,1.0,7,7
Ernesto Pérez Rueda,Ernesto Pérez Rueda,alta,tutora_exacta_display,1.0,1,1
"Perez-Rueda, Ernesto",Ernesto Pérez Rueda,alta,tutora_exacta,1.0,7,7
"Pérez-Rueda, Ernesto",Ernesto Pérez Rueda,alta,tutora_exacta,1.0,1,1
Ernst Kussul,Ernst Kussul,alta,tutora_exacta_display,1.0,2,2
"Kussul, Ernst",Ernst Kussul,alta,tutora_exacta,1.0,2,2
"Barcenas, Everardo",Everardo Barcenas,alta,tutora_exacta,1.0,14,14
"Bárcenas, Everardo",Everardo Barcenas,alta,tutora_exacta,1.0,14,14
Everardo Barcenas,Everardo Barcenas,alta,tutora_exacta_display,1.0,14,14
Everardo Bárcenas,Everardo Barcenas,alta,tutora_exacta_display,1.0,14,14
F. A. Cosío,F A Cosío,alta,tutora_exacta,1.0,3,3
F Garcia,F Garcia,alta,tutora_exacta_display,1.0,2,2
F. García,F Garcia,alta,tutora_exacta,1.0,4,4
"Garcia, F.",F Garcia,alta,tutora_exacta,1.0,2,2
Fabian Torres Robles,Fabián Torres Robles,alta,tutora_exacta_display,1.0,2,2
Fabián Torres Robles,Fabián Torres Robles,alta,tutora_exacta_display,1.0,2,2
"Torres-Robles, Fabian",Fabián Torres Robles,alta,tutora_exacta,1.0,2,2
"Torres-Robles, Fabián",Fabián Torres Robles,alta,tutora_exacta,1.0,2,2
"Arámbula Cosío, Fernando",Fernando Arámbula Cosío,alta,tutora_exacta,1.0,5,5
"Cosio, Fernando Arambula",Fernando Arámbula Cosío,alta,tutora_exacta,1.0,5,5
"Cosío, Fernando Arámbula",Fernando Arámbula Cosío,alta,tutora_exacta,1.0,2,2
Fernando Arambula Cosio,Fernando Arámbula Cosío,alta,tutora_exacta_display,1.0,5,5
Fernando Arámbula Cosío,Fernando Arámbula Cosío,alta,tutora_exacta_display,1.0,5,5
Fernando Arámbula Cosío,Fernando Arámbula Cosío,alta,tutora_exacta_display,1.0,2,2
"Ayala-Niño, Fernando",Fernando Ayala Niño,alta,tutora_exacta,1.0,5,5
Fernando Ayala Niño,Fernando Ayala Niño,alta,tutora_exacta_display,1.0,5,5
"Baltazar-Larios, Fernando",Fernando Baltazar Larios,alta,tutora_exacta,1.0,1,1
Fernando Baltazar Larios,Fernando Baltazar Larios,alta,tutora_exacta_display,1.0,1,1
F G Moncada Gutierrez,Fernando Moncada Gutierrez,media,tutora_probable_display,0.96,3,3
F. G. Moncada-Gutiérrez,Fernando Moncada Gutierrez,media,tutora_probable,0.96,6,6
"Moncada-Gutierrez, F.G.",Fernando Moncada Gutierrez,media,tutora_probable,0.96,3,3
Fernando Montoya,Fernando Montoya,alta,tutora_exacta_display,1.0,5,5
"Montoya, Fernando",Fernando Montoya,alta,tutora_exacta,1.0,5,5
Fernando Perez Escamirosa,Fernando Pérez Escamirosa,alta,tutora_exacta_display,1.0,3,3
Fernando Pérez Escamirosa,Fernando Pérez Escamirosa,alta,tutora_exacta_display,1.0,1,1
"Perez-Escamirosa, Fernando",Fernando Pérez Escamirosa,alta,tutora_exacta,1.0,3,3
"Pérez-Escamirosa, Fernando",Fernando Pérez Escamirosa,alta,tutora_exacta,1.0,1,1
"Delgado-Vences, Francisco",Francisco Delgado Vences,alta,tutora_exacta,1.0,1,1
Francisco Delgado Vences,Francisco Delgado Vences,alta,tutora_exacta_display,1.0,1,1
Francisco Hernandez Quiroz,Francisco Hernández Quiroz,alta,tutora_exacta_display,1.0,2,2
"Hernandez-Quiroz, Francisco",Francisco Hernández Quiroz,alta,tutora_exacta,1.0,2,2
Francisco Javier Garcia Ugalde,Francisco Javier García Ugalde,alta,tutora_exacta_display,1.0,15,15
"Garcia-Ugalde, Francisco Javier",Francisco Javier García Ugalde,alta,tutora_exacta,1.0,15,15
Francisco J Sánchez Sesma,Francisco José Sánchez Sesma,media,tutora_probable_display,0.96,1,1
"Sánchez-Sesma, Francisco J.",Francisco José Sánchez Sesma,media,tutora_probable,0.96,1,1
Francisco Valdes Souto,Francisco Valdés Souto,alta,tutora_exacta_display,1.0,3,3
Francisco Valdés Souto,Francisco Valdés Souto,alta,tutora_exacta_display,1.0,11,11
"Valdes-Souto, Francisco",Francisco Valdés Souto,alta,tutora_exacta,1.0,3,3
"Valdés-Souto, Francisco",Francisco Valdés Souto,alta,tutora_exacta,1.0,11,11
F Trillaud,Frederic Trillaud,media,tutora_probable_display,0.96,1,1
Frederic Trillaud,Frederic Trillaud,alta,tutora_exacta_display,1.0,1,1
"Trillaud, F.",Frederic Trillaud,media,tutora_probable,0.96,1,1
"Trillaud, Frederic",Frederic Trillaud,alta,tutora_exacta,1.0,1,1
R Ramos,G A Ramos,media,tutora_probable_display,0.96,6,6
"Ramos, R.",G A Ramos,media,tutora_probable,0.96,6,6
"Bel-Enguix, Gemma",Gemma Bel Enguix,alta,tutora_exacta,1.0,43,43
"Enguix, Gemma Bel",Gemma Bel Enguix,alta,tutora_exacta,1.0,1,1
Gemma Bel Enguix,Gemma Bel Enguix,alta,tutora_exacta_display,1.0,43,43
Gemma Bel Enguix,Gemma Bel Enguix,alta,tutora_exacta_display,1.0,1,1
Gerardo Eugenio Sierra Martínez,Gerardo Eugenio Sierra Martínez,alta,tutora_exacta_display,1.0,1,1
Gerardo Sierra,Gerardo Eugenio Sierra Martínez,alta,tutora_doi_compartido_display,0.98,25,25
"Martínez, Gerardo Eugenio Sierra",Gerardo Eugenio Sierra Martínez,alta,tutora_exacta,1.0,1,1
"Sierra, Gerardo",Gerardo Eugenio Sierra Martínez,alta,tutora_doi_compartido,0.98,25,25
"Fuentes Pineda, Gibran",Gibrán Fuentes Pineda,alta,tutora_exacta,1.0,1,1
"Fuentes-Pineda, Gibran",Gibrán Fuentes Pineda,alta,tutora_exacta,1.0,15,15
G. Fuentes-Pineda,Gibrán Fuentes Pineda,media,tutora_probable,0.96,8,8
Gibran Fuentes Pineda,Gibrán Fuentes Pineda,alta,tutora_exacta_display,1.0,1,1
Gibran Fuentes Pineda,Gibrán Fuentes Pineda,alta,tutora_exacta_display,1.0,15,15
"Pineda, Gibran Fuentes",Gibrán Fuentes Pineda,alta,tutora_exacta,1.0,1,1
Grigori Sidorov,Grigori Sidorov,alta,tutora_exacta_display,1.0,1,1
"Sidorov, Grigori",Grigori Sidorov,alta,tutora_exacta,1.0,1,1
G. Gilberto Molero-Castillo,Guillermo Gilberto Molero Castillo,media,tutora_probable,0.96,3,3
Gunnar Wolf,Gunnar Wolf,alta,tutora_exacta_display,1.0,6,6
"Wolf, Gunnar",Gunnar Wolf,alta,tutora_exacta,1.0,6,6
Haydee O Hernandez,Haydee O Hernandez,alta,tutora_exacta_display,1.0,2,2
Haydee O Hernández,Haydee O Hernandez,alta,tutora_exacta_display,1.0,3,3
Haydeé O Hernández,Haydee O Hernandez,alta,tutora_exacta_display,1.0,1,1
"Hernandez, Haydee O.",Haydee O Hernandez,alta,tutora_exacta,1.0,2,2
"Hernández, Haydee O.",Haydee O Hernandez,alta,tutora_exacta,1.0,3,3
"Hernández, Haydeé O.",Haydee O Hernandez,alta,tutora_exacta,1.0,1,1
"Gomez-Adorno, H.",Helena Montserrat Gómez Adorno,media,tutora_probable,0.96,2,2
"Gomez-Adorno, Helena",Helena Montserrat Gómez Adorno,alta,tutora_probable,0.99,25,25
"Goméz-Adorno, Helena",Helena Montserrat Gómez Adorno,alta,tutora_probable,0.99,2,2
"Gómez-Adorno, Helena",Helena Montserrat Gómez Adorno,alta,tutora_probable,0.99,31,31
H Gomez Adorno,Helena Montserrat Gómez Adorno,media,tutora_probable_display,0.96,2,2
Helena Gomez Adorno,Helena Montserrat Gómez Adorno,alta,tutora_probable_display,0.99,25,25
Helena Goméz Adorno,Helena Montserrat Gómez Adorno,alta,tutora_probable_display,0.99,2,2
Helena Gómez Adorno,Helena Montserrat Gómez Adorno,alta,tutora_probable_display,0.99,31,31
"Alva-Sanchez, H.",Héctor Alva Sánchez,media,tutora_probable,0.96,3,3
H Alva Sanchez,Héctor Alva Sánchez,media,tutora_probable_display,0.96,3,3
H. Alva-Sánchez,Héctor Alva Sánchez,media,tutora_probable,0.96,6,6
"Benitez-Perez, Hector",Héctor Benítez Pérez,alta,tutora_exacta,1.0,5,5
"Benitez-Perez, Héctor",Héctor Benítez Pérez,alta,tutora_exacta,1.0,2,2
"Benítez-Pérez, Héctor",Héctor Benítez Pérez,alta,tutora_exacta,1.0,7,7
