alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
G B Díaz Cortés,G B Díaz Cortés,media,revision_manual_resuelta_web,,,
G Gonzalez Gonzalez,G Gonzalez Gonzalez,media,revision_manual_resuelta_web,,,
"Gonzalez-Gonzalez, G.",G Gonzalez Gonzalez,media,revision_manual_resuelta_web,,,
Gabriel Armando Rios Esparza,Gabriel Armando Rios Esparza,alta,nuevo_autor_normalizado_display,0.0,1,1
"Rios Esparza, Gabriel Armando",Gabriel Armando Rios Esparza,alta,nuevo_autor_normalizado,0.0,1,1
"Bravo, Gabriel",Gabriel Bravo,alta,nuevo_autor_normalizado,0.0,6,6
Gabriel Bravo,Gabriel Bravo,alta,nuevo_autor_normalizado_display,0.0,6,6
"Carcedo-Rodríguez, Gabriel",Gabriel Carcedo Rodríguez,alta,nuevo_autor_normalizado,0.0,4,4
G. Carcedo-Rodríguez,Gabriel Carcedo Rodríguez,media,expandido_por_variante_interna,0.0,3,3
Gabriel Carcedo Rodríguez,Gabriel Carcedo Rodríguez,alta,nuevo_autor_normalizado_display,0.0,4,4
"Corkidi, Gabriel",Gabriel Corkidi,alta,nuevo_autor_normalizado,0.0,1,1
Gabriel Corkidi,Gabriel Corkidi,alta,nuevo_autor_normalizado_display,0.0,1,1
G. E. Mejia-Ruiz,Gabriel Eduardo Mejía Ruiz,alta,revision_manual_resuelta_web,,,
Gabriel Eduardo Mejía Ruiz,Gabriel Eduardo Mejía Ruiz,alta,revision_manual_resuelta_web,,,
Gabriel Hajiri,Gabriel Hajiri,alta,nuevo_autor_normalizado_display,0.0,2,2
"Hajiri, Gabriel",Gabriel Hajiri,alta,nuevo_autor_normalizado,0.0,2,2
Gabriel Moreno Hagelsieb,Gabriel Moreno Hagelsieb,alta,nuevo_autor_normalizado_display,0.0,2,2
"Moreno-Hagelsieb, Gabriel",Gabriel Moreno Hagelsieb,alta,nuevo_autor_normalizado,0.0,2,2
"Araujo-Pardo, Gabriela",Gabriela Araujo Pardo,alta,nuevo_autor_normalizado,0.0,2,2
Gabriela Araujo Pardo,Gabriela Araujo Pardo,alta,nuevo_autor_normalizado_display,0.0,2,2
G A Osorio Durán,Gemma Aiddé Osorio Durán,alta,revision_manual_resuelta_web,,,
Gemma Aiddé Osorio Durán,Gemma Aiddé Osorio Durán,alta,revision_manual_resuelta_web,,,
"Osorio-Durán, G.A.",Gemma Aiddé Osorio Durán,alta,revision_manual_resuelta_web,,,
"Bel-Enguix, Gemma",Gemma Bel Enguix,alta,tutora_exacta,1.0,43,43
"Enguix, Gemma Bel",Gemma Bel Enguix,alta,tutora_exacta,1.0,1,1
Gemma Bel Enguix,Gemma Bel Enguix,alta,tutora_exacta_display,1.0,43,43
"Altamirano-Gomez, Gerardo",Gerardo Altamirano Gomez,alta,nuevo_autor_normalizado,0.0,3,3
Gerardo Altamirano Gomez,Gerardo Altamirano Gomez,alta,nuevo_autor_normalizado_display,0.0,3,3
Gerardo Eugenio Sierra Martínez,Gerardo Eugenio Sierra Martínez,alta,tutora_exacta_display,1.0,1,1
Gerardo Sierra,Gerardo Eugenio Sierra Martínez,alta,tutora_doi_compartido_display,0.98,25,25
"Martínez, Gerardo Eugenio Sierra",Gerardo Eugenio Sierra Martínez,alta,tutora_exacta,1.0,1,1
"Sierra, Gerardo",Gerardo Eugenio Sierra Martínez,alta,tutora_doi_compartido,0.98,25,25
